RESULT_COUNT: 9424,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-04-06,170.97,172.48,168.2,168.38,35005290.0,0.0,1.0,170.97,172.48,168.2,168.38,35005290.0,1
2018-04-05,172.58,174.2304,172.08,172.8,26933197.0,0.0,1.0,172.58,174.2304,172.08,172.8,26933197.0,1
2018-04-04,164.88,172.01,164.77,171.61,34605489.0,0.0,1.0,164.88,172.01,164.77,171.61,34605489.0,1
2018-04-03,167.64,168.7455,164.88,168.39,30278046.0,0.0,1.0,167.64,168.7455,164.88,168.39,30278046.0,1
2018-04-02,167.88,168.94,164.47,166.68,37586791.0,0.0,1.0,167.88,168.94,164.47,166.68,37586791.0,1
2018-03-29,167.805,171.75,166.9,167.78,38398505.0,0.0,1.0,167.805,171.75,166.9,167.78,38398505.0,1
2018-03-28,167.25,170.02,165.19,166.48,41668545.0,0.0,1.0,167.25,170.02,165.19,166.48,41668545.0,1
2018-03-27,173.68,175.15,166.92,168.34,40922579.0,0.0,1.0,173.68,175.15,166.92,168.34,40922579.0,1
2018-03-26,168.07,173.1,166.44,172.77,37541236.0,0.0,1.0,168.07,173.1,166.44,172.77,37541236.0,1
2018-03-23,168.39,169.92,164.94,164.94,41028784.0,0.0,1.0,168.39,169.92,164.94,164.94,41028784.0,1
2018-03-22,170.0,172.68,168.6,168.85,41490767.0,0.0,1.0,170.0,172.68,168.6,168.85,41490767.0,1
2018-03-21,175.04,175.09,171.26,171.27,37054935.0,0.0,1.0,175.04,175.09,171.26,171.27,37054935.0,1
2018-03-20,175.24,176.8,174.94,175.24,19649350.0,0.0,1.0,175.24,176.8,174.94,175.24,19649350.0,1
2018-03-19,177.32,177.47,173.66,175.3,33446771.0,0.0,1.0,177.32,177.47,173.66,175.3,33446771.0,1
2018-03-16,178.65,179.12,177.62,178.02,39404688.0,0.0,1.0,178.65,179.12,177.62,178.02,39404688.0,1
2018-03-15,178.5,180.24,178.0701,178.65,22743798.0,0.0,1.0,178.5,180.24,178.0701,178.65,22743798.0,1
2018-03-14,180.32,180.52,177.81,178.44,29368356.0,0.0,1.0,180.32,180.52,177.81,178.44,29368356.0,1
2018-03-13,182.59,183.5,179.24,179.97,31693529.0,0.0,1.0,182.59,183.5,179.24,179.97,31693529.0,1
2018-03-12,180.29,182.39,180.21,181.72,32207081.0,0.0,1.0,180.29,182.39,180.21,181.72,32207081.0,1
2018-03-09,177.96,180.0,177.39,179.98,32185162.0,0.0,1.0,177.96,180.0,177.39,179.98,32185162.0,1
2018-03-08,175.48,177.12,175.07,176.94,23774107.0,0.0,1.0,175.48,177.12,175.07,176.94,23774107.0,1
2018-03-07,174.94,175.85,174.27,175.03,31703462.0,0.0,1.0,174.94,175.85,174.27,175.03,31703462.0,1
2018-03-06,177.91,178.25,176.13,176.67,23788506.0,0.0,1.0,177.91,178.25,176.13,176.67,23788506.0,1
2018-03-05,175.21,177.74,174.52,176.82,28401366.0,0.0,1.0,175.21,177.74,174.52,176.82,28401366.0,1
2018-03-02,172.8,176.3,172.45,176.21,38453950.0,0.0,1.0,172.8,176.3,172.45,176.21,38453950.0,1
2018-03-01,178.54,179.775,172.66,175.0,48801970.0,0.0,1.0,178.54,179.775,172.66,175.0,48801970.0,1
2018-02-28,179.26,180.615,178.05,178.12,37782138.0,0.0,1.0,179.26,180.615,178.05,178.12,37782138.0,1
2018-02-27,179.1,180.48,178.16,178.39,38928125.0,0.0,1.0,179.1,180.48,178.16,178.39,38928125.0,1
2018-02-26,176.35,179.39,176.21,178.97,38162174.0,0.0,1.0,176.35,179.39,176.21,178.97,38162174.0,1
2018-02-23,173.67,175.65,173.54,175.5,33812360.0,0.0,1.0,173.67,175.65,173.54,175.5,33812360.0,1
2018-02-22,171.8,173.95,171.71,172.5,30991940.0,0.0,1.0,171.8,173.95,171.71,172.5,30991940.0,1
2018-02-21,172.83,174.12,171.01,171.07,37471623.0,0.0,1.0,172.83,174.12,171.01,171.07,37471623.0,1
2018-02-20,172.05,174.26,171.42,171.85,33930540.0,0.0,1.0,172.05,174.26,171.42,171.85,33930540.0,1
2018-02-16,172.36,174.82,171.77,172.43,40176091.0,0.0,1.0,172.36,174.82,171.77,172.43,40176091.0,1
2018-02-15,169.79,173.09,169.0,172.99,51147171.0,0.0,1.0,169.79,173.09,169.0,172.99,51147171.0,1
2018-02-14,163.045,167.54,162.88,167.37,40644933.0,0.0,1.0,163.045,167.54,162.88,167.37,40644933.0,1
2018-02-13,161.95,164.75,161.65,164.34,32549163.0,0.0,1.0,161.95,164.75,161.65,164.34,32549163.0,1
2018-02-12,158.5,163.89,157.51,162.71,60819539.0,0.0,1.0,158.5,163.89,157.51,162.71,60819539.0,1
2018-02-09,157.07,157.89,150.24,156.41,70672608.0,0.63,1.0,157.07,157.89,150.24,156.41,70672608.0,0.995988283239939
2018-02-08,160.29,161.0,155.03,155.15,54390516.0,0.0,1.0,159.64696192053,160.35411360163,154.408063550688,154.527582144677,54390516.0,1
2018-02-07,163.085,163.4,159.0685,159.54,51608580.0,0.0,1.0,162.430749172185,162.744485481406,158.430362232552,158.8999707081,51608580.0,1
2018-02-06,154.83,163.72,154.0,163.03,68243838.0,0.0,1.0,154.20886589404,163.063201732043,153.382195618951,162.375969816607,68243838.0,1
2018-02-05,159.1,163.88,156.0,156.49,72738522.0,0.0,1.0,158.461735863474,163.222559857361,155.37417218543,155.862206444218,72738522.0,1
2018-02-02,166.0,166.8,160.1,160.5,86593825.0,0.0,1.0,165.33405501783,166.130845644422,159.457724146714,159.85611946001,86593825.0,1
2018-02-01,167.165,168.62,166.76,167.78,47230787.0,0.0,1.0,166.494381367804,167.943544319919,166.091006113092,167.106914161997,47230787.0,1
2018-01-31,166.87,168.4417,166.5,167.43,32478930.0,0.0,1.0,166.200564824249,167.765959609017,165.83204915945,166.758318262863,32478930.0,1
2018-01-30,165.525,167.37,164.7,166.97,46048185.0,0.0,1.0,164.860960583291,166.698558965869,164.039270249618,166.300163652573,46048185.0,1
2018-01-29,170.16,170.16,167.07,167.96,50640406.0,0.0,1.0,169.477366276108,169.477366276108,166.399762480897,167.28619205298,50640406.0,1
